Age,Gender,Lifestyle,Habit 01,Habit 02,Habit 03,Habit 04,Habit 05,Habit 06,Recommendation
16,Female,School Student,Write In Journal,Meditate For At Least 10 Minutes,Brush Teeth in the Morning,Read a book for 30 minutes,Write In Journal,Stretch,Mindful Eating
16,Female,School Student,Be Grateful,Affirmations,Learn To Speak a Foreign Language,Take a walk outside,Brush Teeth in the Morning,Learn Something New,Regular medical check-ups
16,Female,School Student,Write In Journal,Workout,Affirmations,No Sugar,Eat More Vegetables and Fruits,No Sugar,Breathing Exercises
16,Male,School Student,Drink more water,Make Bed,Drink more water,Paint,Learn To Speak a Foreign Language,Listen to podcast,Drink plenty of water
16,Male,School Student,Exercise,Sleep at least 8 hours ,No Screens After 10 pm,Floss,Learn Something New,Draw,Swimming
16,Male,School Student,Meditate,Sleep by Midnight,Wake up early,Weekly social media detox,Sleep at least 8 hours ,Set priorities for your day,Learning new skills
16,Male,School Student,Write In Journal,Write Three Positive Things About Today,No Sweets,Meditate For At Least 10 Minutes,Floss,Write Three Positive Things About Today,Balanced Diet
16,Male,School Student,Floss,Sleep at least 8 hours ,Exercise,Draw,Stretch,Be Grateful,Swimming
16,Male,School Student,Floss,Eat More Vegetables and Fruits,Wake up early,Workout,Write In Journal,Yoga,Meditation
16,Male,School Student,Drink more water,Affirmations,Yoga,Meditate,Sleep by Midnight,No Soda,Puzzles
16,Male,School Student,Be Grateful,Meditate For At Least 10 Minutes,Wake up early,Stretch,Write In Journal,Set priorities for your day,Work
16,Male,School Student,Exercise,Brush Teeth in the Morning,Wake up early,Listen to podcast,Eat More Vegetables and Fruits,Make Bed,Walking
17,Male,School Student,Exercise,Affirmations,Draw,Read a book for 30 minutes,Eat Breakfast,Practice Musical Instrument,Walking
17,Male,School Student,Exercise,No Sugar,Eat Breakfast,Exercise,Sleep by Midnight,Meditate,Running
17,Male,School Student,Wake up early,Paint,Practice Musical Instrument,Exercise,Be Grateful,Eat Breakfast,Walking
17,Male,School Student,Be Grateful,Write In Journal,Paint,Learn To Speak a Foreign Language,Floss,No Sugar,Practice learning a new language
17,Male,School Student,Drink more water,Eat Breakfast,Brush Teeth in the Morning,Write Three Positive Things About Today,Sleep at least 8 hours ,Set priorities for your day,Drink plenty of water
17,Male,School Student,Wake up early,No Screens After 10 pm,Exercise,Eat More Vegetables and Fruits,Set priorities for your day,Floss,Swimming
17,Male,School Student,Floss,Meditate,No Screens After 10 pm,Write Three Positive Things About Today,Practice Musical Instrument,No Sugar,Playing musical instruments
17,Male,School Student,Drink more water,Listen to podcast,No Screens After 10 pm,Take a walk outside,Set priorities for your day,Listen to podcast,Drink plenty of water
17,Male,School Student,Be Grateful,Stretch,Meditate For At Least 10 Minutes,Take Vitamins,Go for a weekly hike,Be Grateful,Spend time outdoors
17,Male,School Student,Meditate For At Least 10 Minutes,Learn To Speak a Foreign Language,Set priorities for your day,Clean for 15 Minutes,Sleep by Midnight,Be Grateful,Practice learning a new language
17,Male,School Student,Floss,Meditate,No Sugar,Drink more water,Go to gym,Eat Breakfast,Reading
17,Male,School Student,Set priorities for your day,Duolingo,Affirmations,Affirmations,No Soda,Set priorities for your day,Breathing Exercises
17,Male,School Student,Write In Journal,Practice Musical Instrument,Go to gym,Exercise,Floss,Stretch,Strength training
17,Male,School Student,Wake up early,Sleep at least 8 hours ,Go for a weekly hike,Affirmations,Affirmations,Paint,Spend time outdoors
17,Male,School Student,Write In Journal,Stretch,Pray,Duolingo,Write In Journal,Be Grateful,Practice gratitude
17,Male,School Student,Drink more water,No Sweets,Duolingo,No Sugar,Sleep at least 8 hours ,No Sugar,Balanced Diet
17,Male,School Student,Exercise,Go to gym,No Sugar,Floss,Weekly social media detox,Wake up early,Walking
17,Female,School Student,Wake up early,Duolingo,Exercise,Go for a weekly hike,Yoga,Write In Journal,Strength training
17,Female,School Student,Set priorities for your day,Sleep at least 8 hours ,Be Grateful,Write Three Positive Things About Today,Go for a weekly hike,Paint,Spend time outdoors
17,Female,School Student,Wake up early,Clean for 15 Minutes,Draw,Stretch,Stretch,Make Bed,Social Activities
17,Female,School Student,Wake up early,No Sugar,Yoga,Yoga,Listen to podcast,No Soda,Yoga
17,Female,School Student,Write In Journal,Write Three Positive Things About Today,Pray,Write Three Positive Things About Today,Floss,Paint,Practice gratitude
17,Female,School Student,Meditate,Floss,Stretch,Yoga,Weekly social media detox,Drink more water,Learning new skills
17,Female,School Student,Read a book for 30 minutes,Wake up early,No Screens After 10 pm,Drink more water,Wake up early,Eat Breakfast,Drink plenty of water
17,Female,School Student,Write In Journal,Meditate,Yoga,Sleep at least 8 hours ,No Screens After 10 pm,Workout,Playing musical instruments
17,Female,School Student,Meditate,No Screens After 10 pm,Floss,No Soda,Go for a weekly hike,Meditate,Puzzles
17,Female,School Student,Read a book for 30 minutes,Duolingo,Meditate,Take a walk outside,Take a walk outside,Stretch,Playing musical instruments
17,Female,School Student,Exercise,Exercise,Stretch,Drink more water,Learn Something New,Make Bed,Swimming
18,Female,School Student,Wake up early,Eat Breakfast,Wake up early,Eat Breakfast,Take a walk outside,Make Bed,Regular medical check-ups
18,Female,School Student,Be Grateful,Eat Breakfast,Practice Musical Instrument,Learn To Speak a Foreign Language,Affirmations,Meditate,Playing musical instruments
18,Female,School Student,Set priorities for your day,Make Bed,Take a walk outside,Learn Something New,No Screens After 10 pm,Sleep at least 8 hours ,Regular medical check-ups
18,Female,School Student,Be Grateful,Wake up early,Draw,Set priorities for your day,Stretch,Duolingo,Social Activities
18,Female,School Student,Exercise,Floss,No Soda,Be Grateful,Eat Breakfast,Exercise,Running
18,Female,School Student,Exercise,No Sugar,No Sugar,Sleep by Midnight,Sleep by Midnight,Practice Musical Instrument,Swimming
18,Female,School Student,Exercise,Brush Teeth in the Morning,Draw,Eat More Vegetables and Fruits,Affirmations,Exercise,Running
18,Female,School Student,Floss,Paint,Drink more water,Set priorities for your day,No Sugar,Learn To Speak a Foreign Language,Drink plenty of water
18,Female,School Student,Meditate For At Least 10 Minutes,Drink more water,Write In Journal,Go to gym,Take a walk outside,Meditate,Learning new skills
18,Female,School Student,Meditate For At Least 10 Minutes,No Screens After 10 pm,Workout,Take Vitamins,Set priorities for your day,Write Three Positive Things About Today,Breaks from screens and digital devices
18,Female,School Student,Read a book for 30 minutes,Workout,Duolingo,Sleep at least 8 hours ,Workout,Affirmations,Mindful Eating
18,Female,School Student,Meditate For At Least 10 Minutes,Stretch,Yoga,Write In Journal,Listen to podcast,Duolingo,Yoga
18,Female,School Student,Write In Journal,Wake up early,Meditate,Sleep at least 8 hours ,Affirmations,Set priorities for your day,Puzzles
18,Female,School Student,Be Grateful,Practice Musical Instrument,Learn To Speak a Foreign Language,Eat Breakfast,Eat Breakfast,Stretch,Listen to music and dance
18,Female,School Student,Floss,Take a walk outside,Be Grateful,Go for a weekly hike,Brush Teeth in the Morning,Listen to podcast,Regular medical check-ups
18,Female,School Student,Wake up early,Stretch,Meditate For At Least 10 Minutes,Meditate For At Least 10 Minutes,Listen to podcast,Drink more water,Drink plenty of water
18,Female,School Student,Meditate For At Least 10 Minutes,Read a book for 30 minutes,Learn Something New,Read a book for 30 minutes,Take a walk outside,Learn To Speak a Foreign Language,Regular medical check-ups
18,Female,School Student,Set priorities for your day,Stretch,Learn Something New,Clean for 15 Minutes,Sleep at least 8 hours ,Go to gym,Consume probiotics
18,Female,School Student,Exercise,Meditate For At Least 10 Minutes,Clean for 15 Minutes,Make Bed,Wake up early,Workout,Swimming
18,Female,School Student,Be Grateful,No Sugar,No Sugar,Read a book for 30 minutes,Learn Something New,Stretch,Crafting
18,Female,School Student,Meditate,No Sugar,Listen to podcast,Duolingo,Take a walk outside,Eat More Vegetables and Fruits,Reading
18,Female,School Student,Floss,Pray,No Sugar,Duolingo,No Sweets,Write In Journal,Balanced Diet
18,Female,School Student,Exercise,Eat More Vegetables and Fruits,Go for a weekly hike,Affirmations,Be Grateful,No Sugar,Strength training
18,Female,School Student,Be Grateful,Affirmations,Practice Musical Instrument,Take Vitamins,Draw,Floss,Listen to music and dance
18,Female,School Student,Meditate For At Least 10 Minutes,No Sweets,No Sweets,Draw,Eat More Vegetables and Fruits,Workout,Balanced Diet
18,Female,School Student,Exercise,Wake up early,Wake up early,Learn To Speak a Foreign Language,Brush Teeth in the Morning,Weekly social media detox,Walking
18,Female,School Student,Floss,Eat Breakfast,Go to gym,Eat Breakfast,Duolingo,Eat Breakfast,Fiber-rich diet
18,Female,School Student,Write In Journal,Wake up early,Sleep by Midnight,Listen to podcast,Meditate,Sleep at least 8 hours ,Playing musical instruments
18,Female,School Student,Write In Journal,Draw,Drink more water,Be Grateful,No Sweets,Learn Something New,Balanced Diet
18,Male,School Student,Exercise,Meditate,Make Bed,Affirmations,Clean for 15 Minutes,Take Vitamins,Strength training
18,Male,School Student,Write In Journal,Take Vitamins,Drink more water,Exercise,Set priorities for your day,Be Grateful,Swimming
18,Male,School Student,Read a book for 30 minutes,Learn Something New,Floss,No Screens After 10 pm,No Sweets,Duolingo,Balanced Diet
18,Male,School Student,Floss,Affirmations,Practice Musical Instrument,Be Grateful,Meditate For At Least 10 Minutes,Drink more water,Drink plenty of water
18,Male,School Student,Floss,Read a book for 30 minutes,Exercise,Sleep by Midnight,Eat More Vegetables and Fruits,Learn To Speak a Foreign Language,Walking
18,Male,School Student,Wake up early,Be Grateful,Drink more water,Take Vitamins,Write Three Positive Things About Today,Practice Musical Instrument,Drink plenty of water
18,Male,School Student,Set priorities for your day,Workout,No Soda,Eat More Vegetables and Fruits,Floss,Stretch,Breathing Exercises
18,Male,School Student,Meditate For At Least 10 Minutes,Sleep by Midnight,Practice Musical Instrument,Eat More Vegetables and Fruits,No Sweets,Floss,Balanced Diet
18,Male,School Student,Floss,No Sweets,Draw,No Sugar,Eat Breakfast,Practice Musical Instrument,Balanced Diet
18,Male,School Student,Write In Journal,No Sugar,No Sweets,Take Vitamins,Listen to podcast,Meditate,Balanced Diet
18,Male,School Student,Floss,Wake up early,Learn Something New,Floss,Be Grateful,Weekly social media detox,Maintain strong social connections
18,Male,School Student,Meditate,Listen to podcast,Affirmations,Sleep at least 8 hours ,Go for a weekly hike,Floss,Playing musical instruments
18,Male,School Student,Be Grateful,Brush Teeth in the Morning,Go to gym,Drink more water,Write In Journal,Exercise,Strength training
18,Male,School Student,Exercise,Write Three Positive Things About Today,Duolingo,Sleep at least 8 hours ,Learn Something New,Eat More Vegetables and Fruits,Strength training
18,Male,School Student,Write In Journal,No Sugar,Meditate For At Least 10 Minutes,No Sugar,Floss,Learn Something New,Crafting
18,Male,School Student,Read a book for 30 minutes,No Sweets,Paint,Learn Something New,Listen to podcast,Affirmations,Balanced Diet
18,Male,School Student,Drink more water,Brush Teeth in the Morning,Weekly social media detox,No Sugar,Stretch,Learn To Speak a Foreign Language,Maintain strong social connections
18,Male,School Student,Wake up early,Take Vitamins,Clean for 15 Minutes,Listen to podcast,Duolingo,Sleep at least 8 hours ,Rest
18,Male,School Student,Write In Journal,Exercise,Pray,Eat Breakfast,Paint,Duolingo,Running
18,Male,School Student,Meditate For At Least 10 Minutes,Paint,Workout,Pray,Take Vitamins,Go for a weekly hike,Spend time outdoors
18,Male,School Student,Meditate For At Least 10 Minutes,Meditate,Take a walk outside,Wake up early,Sleep at least 8 hours ,Yoga,Playing musical instruments
19,Male,School Student,Wake up early,Meditate,Exercise,Practice Musical Instrument,Be Grateful,Clean for 15 Minutes,Walking
19,Male,School Student,Set priorities for your day,Wake up early,Stretch,No Screens After 10 pm,Take a walk outside,Sleep by Midnight,Regular medical check-ups
19,Male,School Student,Drink more water,Read a book for 30 minutes,No Sweets,Eat Breakfast,Make Bed,Stretch,Balanced Diet
19,Male,School Student,Floss,Brush Teeth in the Morning,Sleep at least 8 hours ,Make Bed,Practice Musical Instrument,Learn To Speak a Foreign Language,Listen to music and dance
19,Male,School Student,Be Grateful,Learn Something New,No Screens After 10 pm,Affirmations,No Screens After 10 pm,Sleep at least 8 hours ,Painting
19,Male,School Student,Meditate For At Least 10 Minutes,Take a walk outside,Affirmations,Set priorities for your day,Exercise,Sleep by Midnight,Strength training
19,Male,School Student,Drink more water,Affirmations,No Sugar,No Sweets,Affirmations,Make Bed,Balanced Diet
19,Male,School Student,Drink more water,Eat Breakfast,Set priorities for your day,Meditate For At Least 10 Minutes,Learn To Speak a Foreign Language,Clean for 15 Minutes,Drink plenty of water
19,Female,School Student,Meditate,Practice Musical Instrument,No Sugar,No Soda,Set priorities for your day,Paint,Learning new skills
19,Female,School Student,Be Grateful,Learn To Speak a Foreign Language,Workout,Eat Breakfast,Learn Something New,Learn Something New,Crafting
19,Female,School Student,Meditate,Take a walk outside,Wake up early,Set priorities for your day,No Soda,Affirmations,Learning new skills
19,Female,School Student,Exercise,No Sweets,Write Three Positive Things About Today,Eat Breakfast,No Screens After 10 pm,Go to gym,Running
19,Female,School Student,Drink more water,Practice Musical Instrument,Drink more water,Eat More Vegetables and Fruits,Go for a weekly hike,No Sweets,Balanced Diet
19,Female,School Student,Floss,Drink more water,Pray,Yoga,Go to gym,Stretch,Deep breathing exercises
19,Female,School Student,Be Grateful,Exercise,Duolingo,Write In Journal,Meditate,Learn Something New,Swimming
20,Female,Uni Student,Exercise,Sleep by Midnight,Exercise,Weekly social media detox,Yoga,Pray,Walking
20,Female,Uni Student,Meditate,Wake up early,Stretch,Sleep by Midnight,Take a walk outside,Draw,Playing musical instruments
20,Female,Uni Student,Floss,Go for a weekly hike,Practice Musical Instrument,Duolingo,Write Three Positive Things About Today,Weekly social media detox,Maintain strong social connections
20,Female,Uni Student,Meditate,Take a walk outside,Stretch,Brush Teeth in the Morning,Stretch,Take a walk outside,Playing musical instruments
20,Female,Freelancer,Learn Something New,Draw,No Alcohol,Wake up early,Take a walk outside,Take Vitamins,Avoid excessive alcohol
20,Female,Freelancer,Slow-Carb Diet from The 4-Hour Body,No Soda,Bring Lunch to Work,No Soda,Quality time with my children,No Coffee,Breathing Exercises
20,Female,Freelancer,No Coffee,Intermittent fasting,Paint,Learn Something New,Bring Lunch to Work,Be Grateful,Painting
20,Female,Content creator,Practice Musical Instrument,Learn To Speak a Foreign Language,Practice Musical Instrument,Set priorities for your day,Write In Journal,Stretch,Listen to music and dance
20,Female,Content creator,Read a book for 30 minutes,Write Three Positive Things About Today,Make Bed,Listen to podcast,Be Grateful,Brush Teeth in the Morning,Mindful Eating
20,Male,Content creator,Exercise,Listen to podcast,Listen to podcast,Pray,Learn To Speak a Foreign Language,Weekly social media detox,Running
20,Male,Content creator,Practice Musical Instrument,Go to gym,Read a book for 30 minutes,Take Vitamins,Weekly social media detox,Draw,Maintain strong social connections
20,Male,Content creator,Be Grateful,Sleep by Midnight,Be Grateful,Take Vitamins,Draw,Set priorities for your day,Breathing Exercises
20,Male,Content creator,Clean for 15 Minutes,Weekly social media detox,Eat Breakfast,Read a book for 30 minutes,Clean for 15 Minutes,Draw,Maintain strong social connections
20,Male,Freelancer,Draw,Write Three Positive Things About Today,Stretch,Be Grateful,Stretch,No Sugar,Breathing Exercises
20,Male,Freelancer,Learn Something New,Daily skincare,Drink more water,Stretch,Weekly social media detox,Wake up early,Maintain strong social connections
20,Male,Freelancer,Unclutter,No email before breakfast,Take a walk outside,Make Bed,Daily skincare,Drink more water,Drink plenty of water
20,Male,Freelancer,Make Bed,No Smoking,Meal preparation for the week – also housewife,Meal preparation for the week – also housewife,No Soda,Learn Something New,Avoid smoking
20,Male,Freelancer,No Alcohol,Meditate,Save Money,"Walk 10,000 Steps",Bring Lunch to Work,Go to gym,Puzzles
21,Male,Freelancer,Brush Teeth in the Morning,Take Vitamins,Affirmations,Quality time with my children,Go for a weekly hike,Intermittent fasting,Spend time outdoors
21,Male,Freelancer,Eat More Vegetables and Fruits,Practice Musical Instrument,Set priorities for your day,Meal preparation for the week – also housewife,Floss,Learn Something New,Crafting
21,Male,Freelancer,Write Three Positive Things About Today,Duolingo,No email before breakfast,Weekly brunch with friends,Go for a weekly hike,No Soda,Spend time outdoors
21,Male,Uni Student,No Sweets,Wake up early,Be Grateful,Duolingo,Go to gym,Take Vitamins,Balanced Diet
21,Male,Uni Student,Eat Breakfast,Set priorities for your day,Write Three Positive Things About Today,Go for a weekly hike,Take Vitamins,Eat Breakfast,Spend time outdoors
21,Male,Uni Student,Daily skincare,Drink more water,Read a book for 30 minutes,Practice Musical Instrument,Meditate For At Least 10 Minutes,Read a book for 30 minutes,Drink plenty of water
21,Male,Uni Student,Brush Teeth in the Morning,Sleep by Midnight,Yoga,Meditate For At Least 10 Minutes,Eat More Vegetables and Fruits,Save Money,Deep breathing exercises
21,Male,Uni Student,Floss,No Soda,Workout,Paint,Learn Something New,Affirmations,Crafting
21,Male,Uni Student,Practice Musical Instrument,Go to gym,Meditate For At Least 10 Minutes,Stretch,Wake up early,Write Three Positive Things About Today,Fiber-rich diet
21,Male,Uni Student,Be Grateful,No Screens After 10 pm,Go to gym,Wake up early,Read a book for 30 minutes,Go for a weekly hike,Fiber-rich diet
21,Male,Uni Student,Practice Musical Instrument,Practice Musical Instrument,Weekly social media detox,Meditate,Make Bed,Clean for 15 Minutes,Learning new skills
21,Male,Uni Student,Stretch,Clean for 15 Minutes,Keep in touch with friends,Listen to podcast,Affirmations,No Sugar,Breathing Exercises
21,Female,Uni Student,Write Three Positive Things About Today,Write Three Positive Things About Today,Drink more water,Meditate For At Least 10 Minutes,Paint,No Alcohol,Drink plenty of water
21,Female,Uni Student,Go to gym,Weekly social media detox,Save Money,No Sugar,Floss,Learn Something New,Maintain strong social connections
21,Female,Uni Student,Stretch,Wake up early,Wake up early,Go to gym,Go for a weekly hike,Duolingo,Consume probiotics
21,Female,Uni Student,Affirmations,Eat More Vegetables and Fruits,Brush Teeth in the Morning,Write Three Positive Things About Today,Yoga,Yoga,Deep breathing exercises
21,Female,Freelancer,Go for a weekly hike,Drink more water,Practice Musical Instrument,No Soda,Go to gym,Clean for 15 Minutes,Drink plenty of water
21,Female,Freelancer,No Coffee,Eat Breakfast,Draw,Go for a weekly hike,Make Bed,Draw,Spend time outdoors
21,Female,Freelancer,Pray,Set priorities for your day,Daily skincare,Learn To Speak a Foreign Language,Make Bed,Be Grateful,Practice learning a new language
22,Female,Freelancer,Intermittent fasting,Set priorities for your day,Be Grateful,Eat More Vegetables and Fruits,Sleep by Midnight,No Sugar,Breathing Exercises
22,Female,Freelancer,Learn To Speak a Foreign Language,Unclutter,Practice Musical Instrument,Learn To Speak a Foreign Language,Eat More Vegetables and Fruits,Save Money,Listen to music and dance
22,Female,Content creator,Eat More Vegetables and Fruits,Wake up early,Set priorities for your day,Go to gym,Floss,Take a walk outside,Regular medical check-ups
22,Female,Content creator,No Sugar,Set priorities for your day,Weekly social media detox,Learn Something New,Eat More Vegetables and Fruits,No Sweets,Balanced Diet
22,Female,Content creator,Gardening- specially housewife & elders,Set priorities for your day,Go to gym,Write Three Positive Things About Today,No Alcohol,Make Bed,Avoid excessive alcohol
22,Female,Content creator,Slow-Carb Diet from The 4-Hour Body,No Screens After 10 pm,Learn Something New,Go for a weekly hike,Be Grateful,Sleep at least 8 hours ,Spend time outdoors
22,Male,Content creator,Wake up early,Eat More Vegetables and Fruits,Exercise,Eat More Vegetables and Fruits,Duolingo,Drink more water,Strength training
22,Male,Content creator,No Smoking,Daily skincare,Keep in touch with friends,Write Three Positive Things About Today,Meditate,Be Grateful,Puzzles
22,Male,Content creator,No Sweets,Slow-Carb Diet from The 4-Hour Body,Keep in touch with friends,Take Vitamins,Exercise,Pray,Running
22,Male,Freelancer,Bring Lunch to Work,Yoga,Weekly social media detox,Take a walk outside,No Coffee,Paint,Maintain strong social connections
22,Male,Freelancer,Bring Lunch to Work,Take a walk outside,Duolingo,Set priorities for your day,Weekly social media detox,Weekly social media detox,Maintain strong social connections
22,Male,Freelancer,Unclutter,Paint,Bring Lunch to Work,Clean for 15 Minutes,Yoga,Affirmations,Mindfulness
22,Male,Freelancer,Go to gym,Bring Lunch to Work,Affirmations,Intermittent fasting,Write Three Positive Things About Today,Save Money,Fiber-rich diet
22,Male,Freelancer,No Sugar,Inbox Zero,Learn To Speak a Foreign Language,Weekly social media detox,No Sweets,No Coffee,Balanced Diet
22,Male,Freelancer,Make Bed,Affirmations,No Coffee,Inbox Zero,Eat More Vegetables and Fruits,Take a walk outside,Regular medical check-ups
23,Male,Worker,Draw,Stretch,Eat More Vegetables and Fruits,Brush Teeth in the Morning,Meditate For At Least 10 Minutes,Exercise,Walking
23,Male,Worker,Workout,Meditate For At Least 10 Minutes,Take Vitamins,No Screens After 10 pm,Make Bed,Listen to podcast,Breaks from screens and digital devices
23,Male,Worker,Make Bed,Workout,Eat More Vegetables and Fruits,Set priorities for your day,Eat Breakfast,Yoga,Mindfulness
23,Male,Worker,Take Vitamins,Be Grateful,Workout,Meditate,Affirmations,Paint,Learning new skills
23,Male,Worker,No Sweets,Stretch,Sleep by Midnight,Write In Journal,No Alcohol,Yoga,Balanced Diet
23,Male,Worker,Write Three Positive Things About Today,Pray,Listen to podcast,Daily skincare,Make Bed,Draw,Practice gratitude
23,Male,Worker,Eat Breakfast,Go to gym,Brush Teeth in the Morning,Slow-Carb Diet from The 4-Hour Body,Floss,Learn Something New,Consume probiotics
23,Male,Uni Student,Practice Musical Instrument,Wake up early,No Smoking,Set priorities for your day,Listen to podcast,No Sugar,Avoid smoking
23,Male,Uni Student,Pray,Write Three Positive Things About Today,Eat More Vegetables and Fruits,Stretch,Set priorities for your day,Write In Journal,Practice gratitude
23,Male,Uni Student,Practice Musical Instrument,Brush Teeth in the Morning,No Smoking,Wake up early,Meditate For At Least 10 Minutes,Go for a weekly hike,Avoid smoking
23,Male,Uni Student,Learn To Speak a Foreign Language,Learn To Speak a Foreign Language,Write In Journal,Take a walk outside,Make Bed,Sleep by Midnight,Regular medical check-ups
23,Male,Uni Student,Take Vitamins,Save Money,Go for a weekly hike,Take Vitamins,Save Money,Workout,Spend time outdoors
23,Male,Uni Student,No Sweets,Take Vitamins,Learn Something New,No Sugar,Workout,Write In Journal,Balanced Diet
23,Female,Uni Student,Paint,No Sugar,No Alcohol,Go to gym,Workout,Paint,Avoid excessive alcohol
23,Female,Uni Student,Meditate,Sleep at least 8 hours ,Yoga,Draw,Take Vitamins,Weekly social media detox,Puzzles
23,Female,Uni Student,Set priorities for your day,Take Vitamins,Take a walk outside,Duolingo,Take Vitamins,Write Three Positive Things About Today,Regular medical check-ups
23,Female,Uni Student,Duolingo,Learn To Speak a Foreign Language,Take a walk outside,Stretch,Clean for 15 Minutes,Sleep at least 8 hours ,Regular medical check-ups
23,Female,Uni Student,Wake up early,Duolingo,Eat Breakfast,Pray,Wake up early,Clean for 15 Minutes,Practice gratitude
23,Female,Freelancer,Pray,Brush Teeth in the Morning,Be Grateful,Daily skincare,No Sweets,Keep in touch with friends,Balanced Diet
23,Female,Freelancer,No Soda,Inbox Zero,Daily skincare,Draw,Stretch,No Smoking,Avoid smoking
23,Female,Freelancer,Watch a TED talk,Sleep by Midnight,Pray,Eat Breakfast,Duolingo,No Coffee,Practice gratitude
23,Female,Freelancer,Pray,Read a book for 30 minutes,Be Grateful,No Sweets,Daily skincare,Yoga,Balanced Diet
24,Female,Freelancer,No Screens After 10 pm,Workout,Weekly brunch with friends,Listen to podcast,Inbox Zero,Eat Breakfast,Breaks from screens and digital devices
24,Female,Content creator,Be Grateful,Meditate,Stretch,Draw,No Sweets,Yoga,Balanced Diet
24,Female,Content creator,Meditate,Practice Musical Instrument,Eat Breakfast,Pray,Brush Teeth in the Morning,Take Vitamins,Reading
24,Female,Content creator,No Sweets,Read a book for 30 minutes,Clean for 15 Minutes,Exercise,No Alcohol,Make Bed,Strength training
24,Female,Content creator,Sleep by Midnight,Affirmations,Pray,Learn To Speak a Foreign Language,Keep in touch with friends,Duolingo,Practice learning a new language
24,Female,Freelancer,Quality time with my children,Take a walk outside,Floss,Be Grateful,Weekly social media detox,No Screens After 10 pm,Maintain strong social connections
24,Female,Freelancer,Take a walk outside,Sleep by Midnight,Workout,Learn To Speak a Foreign Language,Weekly social media detox,Take Vitamins,Maintain strong social connections
24,Female,Worker,Daily skincare,Workout,Draw,Listen to podcast,Go to gym,Go to gym,Fiber-rich diet
24,Female,Worker,Duolingo,Learn To Speak a Foreign Language,Workout,Read a book for 30 minutes,No Smoking,Exercise,Running
24,Female,Worker,Write Three Positive Things About Today,Learn To Speak a Foreign Language,Wake up early,Write Three Positive Things About Today,Stretch,No Soda,Practice learning a new language
24,Female,Worker,Set priorities for your day,Duolingo,Pray,Sleep at least 8 hours ,Pray,Write In Journal,Practice gratitude
